,曲名,発売日,表示回数,歌詞
0,Kiss,2018-11-14,"2,946",恥ずかしい言葉で満たすより何倍もお洒落なことがしたいだけ逆上がりも上手にできなくなった今やれること　何がある？Oh Baby君と目を合わせて　手に触れて音のない会話が始まればその瞬間はあっという間にやってくる世界はそれを止めないぜ最高のKiss　今すぐKissこのくだらない時間を楽しもう間違いも今日は美しいな悲しい君の陽だまりに膝をついて一緒に呆けて遊ぼうよいつまでも足りない頭で考えて僕達は何にも生まないよ違いの分からない音楽にのぼせてるうちにベルが鳴るお互いにずっと分からないこと耳をすましただけじゃ聞こえないものまだまだまだまだ頃合いじゃないけどこの熱が冷める前に最高のKiss　今すぐKissこのくだらない時間を楽しもう間違いも今日は美しいな最高のKiss　もう一度Kissこの素晴らしい時間を楽しもう間違いも今日は美しいなこの歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
0,Good Thinking,2019-05-22,"3,608",目的のない僕と違って君はたくさんの炎を胸に灯してるずっと小さい頃からボディにペイントをあしらって縦横無尽に技をキメるその姿いつも見惚れていた閉じた瞼に映る鮮やかなグラフィティのアート君の背中を必死に追いかけた日々レモネード　甘くて特別な味がしたKick Push & Turn誰よりもクールに風を切り誰よりも高く空を飛びたい君が見る景色の条理や裏側にまだまだたどり着けない日に日に痩せこける街並みも僕らは構わずに駆け抜けた未だに分からないことだらけ未だに分からないよ誰も死なない映画が君にとって退屈なように縛りのない自由では生きられない僕はちょっと今が苦しいよバリケード　突き破った先君の見ている世界は違うこの歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
0,恋はみずいろ,2021-07-28,"2,622",頭に血が上る時ほどくだらない妄想に耽るもんさ水槽の魚は軽くなって天井に向かって距離を詰めてきた汚染された大気の渦道化になった友だちの噂とか気にも留めない毎日毎日　妙な心地悪さの中で食べて眠るだけアンドロイド　きっとパラノイド聞きたくないよ　今はその声を鱗がないだけであとは同じじきにこの肌を薄いエナメロイドが覆うさ手に触れる時　キスをする時その光沢を以って突きつけてくる食物連鎖擦り付ける胃袋と胃袋Love Is Not Blindness恋はみずいろ　思いは白濁仄暗い道をそろりと歩くのだお前はみずいろ　残酷なみずいろ冷めたオードブルに箸をつけながら骨抜きにされた魚の気持ちを考えてみようかな恋はみずいろ別に込み入った話でもないのにさ首を傾げる奴らにはピースサインメトロポリスのコンクリートをしゃくって2メートル四方の穴ぼこの中でひっそり暮らそうかなとか考えてる経済格差も精神的分断も声のでかい奴もニヤつき顔　板についた奴も沈黙の度に迸るまるで人殺しの眼球でもはめられた気分ガタゴト　貨物を乗せ走る列車の荷台にしがみついたまんま俺は火だるまどうにでもなれ今見えてる線もすぐに点になるそれとない点になる恋はみずいろ　思いは白濁仄暗い道をそろりと歩くのだお前はみずいろ　残酷なみずいろ冷めたオードブルに箸をつけながら骨抜きにされた魚の気持ちを考えてみようかな僕はとってもハッピー今が一番ハッピー体の形は少しずつ変わるのさ君にどう伝えようかこの気持ちをどう伝えようかこの歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
0,心が壊れそう,2021-06-02,"4,546",心が壊れそう何かが崩れそう賑やかなとこに行かなくちゃこのピンチを今すぐ食い止めなくちゃ袖振り合う大通りで青赤信号の無機質が爬虫類のしなやかな体幹のようで小さな安らぎを覚える大きな犬と戯れたり運命の人とすれ違ったりして食い繋ぐ誰かの夕べキック　スネア　キックハートはドクンドクンとその存在を強くする僕は呼吸の仕方に困ってる遠近感はずっとおかしいoh shit！ウィンカーが思考の流れを見せるみんな昨日になぞらえた今日を新しい顔して過ごしてますよ分かってほしいそれ以上はなんにも求めないぜ心が壊れそう何かが崩れそう賑やかなとこに行かなくちゃこのピンチを今すぐ食い止めなくちゃこんなんでいいのかなって音楽もこんなんでいいのかなって映画もこんなんでいいのかなって広告もこんなんでいいのかなって政治家もただの退屈しのぎにしてはダメなのさ怒りは一番尊いものさサボテンの花に水をやるようにわりと覚悟やら辛抱やら愛がいるものさ月があと少し綺麗だったら世界はどう傾いたんだろうイマジネーション　かまけちまって絶望は絶望のままかもしれないな(What's Up Mom？)とても元気凄くいい調子みんな大好き愛してるぜ心が壊れそう涙が溢れそう温かいものを食べなくちゃこのピンチから目を背けなくちゃこの歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
0,ゴーストワーク,2020-06-10,"5,678",ハイカラなリズム　君は贅沢な人間甘くも辛くもないフルオーダーのガムを噛み潰すショッピングカートを走らせてライラライ　飛ばす　はた　ぼう　たま恋の予感に浸ってないで家に帰りなよだって昼間には見えないものばかりの世界まずは煤けた身体で愛し合ってみて明日天気になったら大それたことばかり抜かそうぜ命を持たない僕ら　恨めしやと痛くも痒くもない呪いをかけるのだお気軽なシニシズム　僕は健全な幽霊輪をはみ出したフルーツバスケットクスクスと笑う立ち回り下手のチキン野郎になんて用はない　生きるように死ぬだけ空き缶蹴飛ばすみたいに不幸の種を撒き散らそうやけれど君にはまるで取り入る暇もないついに何にもなれず終わりの終わりが来る涙が出なくなったらこの歌を思い出してみてよね数多のゴーストの中から選ばれた素晴らしき名誉を噛みしめるのみだよ明日天気になったら大それたことばかり抜かそうぜ命を持たない僕ら　恨めしやと痛くも痒くもない呪いをかけるのさこの歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
0,That Girl,2018-11-14,"7,320",ガードレールを俯瞰して見るあの戦争映画みたいな速度で言葉じゃ飽き足らず特別な方法で繋がろうなんつって考え出す君のプレイリストに僕を加えてよそしたらもっと楽しい日になるよ君のプレイリストに僕を加えてよI'm Just Kidding針の落とし方も知らないくらいに時代もレコードも回ったよだけど僕が君にあくせくしてるレトロゲームよりも厄介で変則的自分に盲目を極めてるくせに誰よりも魅力的に映る訳彼女はヒットソングに板挟みしらみつぶしにアナログにやるしかない君のプレイリストに僕を加えてよそしたらもっと楽しい日になるよ君のプレイリストに僕を加えてよI'm Just Kiddingビートルズなんてもう聴かないジャズもAORも使い物にならない時間も容量も持て余していたいなこのラブソングに最低で最高のツールをああ　ばかばかしい未来はそっと手回ししてるのか作り物みたいな髪をスッとなびかせこの街のがらんどうにしれっと顔を出す聞きたくもない話ばかりしてしまう僕を君は嫌うかなたまに会って話をしたいだけそんな嘘で固めたこの歌を今すぐ君に聞かせたい今すぐ君に聞かせたい今すぐ君に聞かせたい少しだけでも心にくるものがあるなら君のプレイリストに僕を加えてよそしたらもっと楽しい日になるよ君のプレイリストに僕を加えてよI'm Just Kidding君のプレイリストに僕を加えてよそしたらきっと全て上手くいくよ君のプレイリストに僕を加えてよI'm Just Kiddingガードレールを俯瞰して見るあの戦争映画みたいな速度で言葉じゃ飽き足らず特別な方法で繋がろうなんて考え出す特別な方法でこの歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
0,6,2019-05-22,"4,135",電波も悲鳴も届かない場所ネクタイもリボンも捨てていい携帯もPCも冷蔵庫も洗濯機も何もかも必要ないここに目は二つわざとらしく音を鳴らすスーツケース鈍い勘で対抗するシックスセンスロケランぶっ放す夢で飛び起きてとても歌になるような生活じゃないから言わせてGod Damnこの歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
0,祝日,2021-04-14,"5,903",最後の一個だったお菓子を口の中で確かめるもっと早く気付けたら切れ切れの意識のやり場も探せたのにひょうきんに踊り出してそれから歌ったりもしたけれど歯磨きをして布団をすっぽりかぶったらそれぞれのニュースに夢中だよ強い電波に晒されたひとつ屋根の下でさよならをただ知らないだけふぞろいのリズムで現れた超現実のプラズマ目配せしてしばらく探り合ってクラスメイトみたいに冷たく笑うよふぞろいのリズムで二人は同じ波を感じてたヒーローも憂いて渇ききったこの街でクラスメイトみたいに話を逸らし続ける祝日団地の落書きが文明の外へと僕を連れ出した土地も人も木々も活字も溶け合って甚くとんでもない発見をした気になるけど結局テレビも好きだし無機質の繋がりも悪くない便利な機能もAIも隔世の感とかも言うけどそこそこ持ってる愛着目くるめく文化人類学知性のかたちも流動するものさ強い電波に守られたひとつ屋根の下で洒落たものをただ選り取るだけふぞろいのリズムで現れた超現実のプラズマ目配せしてしばらく探り合ってクラスメイトみたいに冷たく笑うよふぞろいのリズムで二人は同じ波を感じてたヒーローも憂いて渇ききったこの街でクラスメイトみたいに話を逸らし続ける祝日この歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
0,食卓,2020-07-08,"4,166",まず食べることが基本髪の色や体つきHP　MP　属性よりまず食べることが基本息継ぎするたび溺れてくプライベートビーチ水切り石投げ込まれてく心の海なんちゃって　チョコレートビーム食らえビタミンB安いユーモアをそこら中に散りばめテクテクと歩く人間傷の多い人間　傷の多い人間たちもっと時代を可愛がりたい耳生やして目元も描いてグラムみたいにフリーなフォームで音のPAN　中央よりも気持ち右繊細な感覚さ　分かり合えないやせめて同じ釜の飯を食う Let's Eat何を食べる？そしてどんな言葉吐き出すのか聞かせてよマイフレンド何を食べる？そしてどんな風にキスをするのか教えてよダーリン食べることが基本歯並びとか内に秘めるパッションよりまずは食べることが基本画面に疲れ　酔ってしまってまた緑に抱かれながら眠り起きる熱を帯びる　誰かに媚びるどこかに群れる薬より毒の方がマシ結局無駄なエネルギー悲しみのその果てに答えなんてないかもでも食べることをやめない歩くことをやめない食べることをやめない何を食べる？そしてどんな言葉吐き出すのか聞かせてよマイフレンド何を食べる？そしてどんな風にキスをするのか教えてよダーリンこの歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
0,シングストリート,2019-05-22,"3,754",君と出会った16の春的のないダーツを投げまくる日々全てポカだから良い憂鬱はぼんやりと月のように髪型やファッション　真似してみたりそこにあるすべてに恋をしてたこの胸は熱くなり　寝食も忘れてグラグラの頭でも確かな声が聞こえる僕の目指すべきところ　君が教えてくれたよそれはカジュアルでもあるけど誰にも真似できないものさ口付けをしようとろけそうな甘いやつを感覚は麻痺呂律だって回らない今がずっと1番そんな君がくれたライフスタイル君のライフスタイルこれからも素敵だよシワの数が増えても愛してる君を愛してるずっと愛してる堪らず愛してる散々な朝も洒落くさいTVも今は愛おしく思うだけさ愛してる君を愛してるずっと愛してる堪らず愛してる夢心地だよどこまでも行けそう僕は変わらず君が好きさ探してるSomthingどんなときだって溶け合う瞬間が最高に良いツノの生えたやつらも顔つきは小生意気な子どもだよ煙ったい空気を大きくかき分け誰よりもリッチな生活を送ろう律儀にはみ出す馬鹿そんなものに憧れなど抱かないよボロボロのドレスでも　主役の席は争う醜い顔だって見せるだけど血は流すべからずこれはカジュアルでもあるけど誰にも真似できないものさ共に生き抜こう地味な賞レースにはしないぜ感覚は麻痺呂律だって回らない今がずっと1番そんな君がくれたライフスタイル君のライフスタイルこれからも素敵だよ僕の熱が冷めてもこの歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
