,曲名,発売日,表示回数,歌詞
0,WOODEN DOLL,2014-04-23,"459,749",さあ、心の向こうへ行こうぜ　チンドン屋の行列に絡まってもう、ありとあらゆる不幸を　吸い込んだような顔してないでああ、恐ろしいことばっかだ　楽しむことさえもそうもう、後になって思い出に　ぶん殴られるのが嫌なんだ絶望や諦観がどれほどの痛みを生むのか他の誰かにわからない　あなただけが正しさを持っているちゃんと話してよ　大きな声で　さあ目を開いて　わっはっはは自分嫌いのあなたのことを　愛する僕も嫌いなの？いつだってそうだ　心臓の奥で　誰彼彼も見下しては見下される恐ろしさに　苛まれて動けずにもう、黙り込んだ方がお得だ　否定されるくらいならその内に気づくんだ　何も言えない自分に愛情や友情はあなたがいくら疑えど一方的に与えられて　あなたが決められるものじゃないやちゃんと笑ってよ　カウチにかけて　お腹抱えて　わっはっははそんな寂しいこと言わないでよ　さも知ったげにも俯いてさ真っ赤っかな嘘　撒き散らしては　嘘に嘘つき塗り重ねどうにもならず追い込まれて 傷つく前に逃げ出してあなたが思うほどあなたは悪くない誰かのせいってこともきっとある痛みを呪うのをやめろとは言わないよそれはもうあなたの一部だろでもね、失くしたものにしか目を向けてないけど誰かがくれたもの数えたことある？忘れてしまったなら　無理にでも思い出してじゃないと僕は悲しいやちゃんと話してよ　大きな声で　さあ目を開いて　わっはっはは自分嫌いのあなたのことを　愛する僕も嫌いなの？いつだってそうだ　心臓の奥で　誰彼彼も見下しては見下される恐ろしさに苛まれて動けずにどこにもないと泣く前にさ目の前の僕をちゃんと見つめてよこの歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
0,馬と鹿,2019-09-11,"2,752,643",歪んで傷だらけの春麻酔も打たずに歩いた体の奥底で響く生き足りないと強くまだ味わうさ　噛み終えたガムの味冷めきれないままの心でひとつひとつなくした果てにようやく残ったものこれが愛じゃなければなんと呼ぶのか僕は知らなかった呼べよ　花の名前をただ一つだけ張り裂けるくらいに鼻先が触れる　呼吸が止まる痛みは消えないままでいい疲れたその目で何を言う傷跡隠して歩いたそのくせ影をばら撒いた気づいて欲しかったまだ歩けるか　噛み締めた砂の味夜露で濡れた芝生の上はやる胸に　尋ねる言葉終わるにはまだ早いだろう誰も悲しまぬように微笑むことが上手くできなかった一つ　ただ一つでいい　守れるだけでそれでよかったのにあまりにくだらない　願いが消えない誰にも奪えない魂何に例えよう　君と僕を　踵に残る似た傷を晴れ間を結えばまだ続く　行こう花も咲かないうちにこれが愛じゃなければなんと呼ぶのか僕は知らなかった呼べよ　恐れるままに花の名前を君じゃなきゃ駄目だと鼻先が触れる　呼吸が止まる痛みは消えないままでいいあまりにくだらない　願いが消えない止まないこの歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
0,海と山椒魚,2014-04-23,"301,334",みなまで言わないでくれ草葉の露を数えて伸びゆく陰を背負ってあなたを偲び歩いた二人で植えた向日葵はとうに枯れ果ててしまった照り落ちる陽の下で一人夏を見渡した今なお浮かぶその思い出は何処かで落として消えるのかあなたの抱える憂がその身に浸る苦痛が雨にしな垂れては流れ落ちますように真午の海に浮かんだ漁り火と似た炎に安らかであれやと祈りを送りながらみなまで言わないでくれ俺がそうであるようにあなたが俺を忘れるならどれほど淋しいだろう岩屋の陰に潜みあなたの痛みも知らず嵐に怯む俺はのろまな山椒魚だ零れありぬこの声が掠れ立ちぬあの歌が風にたゆたうならあなたへと届いてくれさよならも言えぬまま一つ報せも残さずに去り退いたあなたに祈りを送りながら青く澄んでは日照りの中遠く遠くに燈が灯るそれがなんだかあなたみたいで心あるまま縷々語る今なお浮かぶこの思い出はどこにも落とせはしないだろうあなたの抱える憂がその身に浸る苦痛が雨にしな垂れては流れ落ちますように真午の海に浮かんだ漁り火と似た炎に安らかであれやと祈りを送りながら青く澄んでは日照りの中遠く遠くに燈が灯るそれがなんだかあなたみたいで心あるまま縷々語るこの歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
0,海の幽霊,2019-06-03,"737,461",開け放たれた　この部屋には誰もいない潮風の匂い　滲みついた椅子がひとつあなたが迷わないように　空けておくよ軋む戸を叩いてなにから話せばいいのか　わからなくなるかな星が降る夜にあなたにあえたあの夜を忘れはしない大切なことは言葉にならない夏の日に起きた全て思いがけず光るのは　海の幽霊茹だる夏の夕に梢が　船を見送るいくつかの歌を囁く　花を散らしてあなたがどこかで笑う　声が聞こえる熱い頬の手触りねじれた道を進んだら　その瞼が開く離れ離れてもときめくもの叫ぼう今は幸せと大切なことは言葉にならない跳ねる光に溶かして星が降る夜にあなたにあえたあのときを忘れはしない大切なことは言葉にならない夏の日に起きた全て思いがけず光るのは　海の幽霊風薫る砂浜で　また会いましょうこの歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
0,orion,2017-02-15,"1,778,119",あなたの指がその胸がその瞳が眩しくて少し眩暈がする夜もあるそれは不意に落ちてきて　あまりにも暖かくて飲み込んだ七色の星弾ける火花みたいに　ぎゅっと僕を困らせたそれでまだ歩いてゆけること　教わったんだ神様　どうか　声を聞かせてほんのちょっとでいいからもう二度と　離れないようにあなたと二人　あの星座のように結んで欲しくて夢の中でさえどうも上手じゃない心具合気にしないでって嘆いたこと　泣いていたこと解れた袖の糸を引っぱって　ふっと星座を作ってみたんだお互いの指を星としてそれは酷くでたらめで　僕ら笑いあえたんだそこにあなたがいてくれたなら　それでいいんだ今なら　どんな　困難でさえも愛して見せられるのにあんまりに　柔くも澄んだ夜明けの間　ただ眼を見ていた淡い色の瞳だ真白でいる　陶器みたいな声をしていた　冬の匂いだ心の中　静かに荒む嵐を飼う　闇の途中で落ちてきたんだ　僕の頭上に煌めく星　泣きそうなくらいに触れていたんだ神様　どうか　声を聞かせてほんのちょっとでいいからもう二度と離れないようにあなたと二人　この星座のように結んで欲しくてこの歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
0,かいじゅうのマーチ,2017-11-01,"533,164",少しでもあなたに伝えたくて言葉を覚えたんだ喜んでくれるのかな　そうだと嬉しいな遠くからあなたに出会うため生まれてきたんだぜ道草もせず　一本の道を踏みしめて怖がらないで　僕と歌ってそのまま超えて　海の向こうへおかしな声で　愛と歌って心は晴れやかさあ出かけよう　砂漠を抜けて悲しいこともあるだろうけど虹の根元を探しにいこうあなたと迎えたい明日のために涙を隠しては燃えるようなあの夕陽を待っていた言葉が出ないんだ今日の日はさようならと　あの鳥を見送ったいつまでも絶えることなく友達でいよう信じ合う喜びから　もう一度始めよう泥だらけの　ありのままじゃ生きられないと　知っていたからだから歌うよ　愛と歌うよあなたと一緒がいい人を疑えない馬鹿じゃない信じられる心があるだけあなたのとなりで眠りたいまた目覚めた朝に　あなたと同じ夢を見てますように今あなたと出会えて　ああほんとによかったな胸に残る一番星　寂しいのに眩しいのにさあ出かけよう　砂漠を抜けて悲しいこともあるだろうけど虹の根元を探しにいこう人を疑えない馬鹿じゃない信じられる心があるだけあなたのとなりで眠りたいまた目覚めた朝に　あなたと同じ夢を見てますようにこの歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
0,カナリヤ,2020-08-05,"376,230",ありふれた毎日が　懐かしくなるほどくすぶり沈む夜に揺れる花を見つめていた人いきれの中を　あなたと歩いたこと振り向きざまに笑う顔を何故か思い出したカナリヤが鳴きだす四月の末の　誰もが忘れていく白いプロムナードあなたの指先が震えていることを　覚えていたいと思ういいよ　あなたとなら　いいよ二度とこの場所には帰れないとしてもあなたとなら　いいよ歩いていこう　最後まで転げ落ちて割れた　グラスを拾うあなたその瞳には涙が浮かぶ何も言わないままカナリヤが消えていく五月の末の　木の葉が響き合う湖畔の隅っこあなたを何より支えていたいと　強く　強く　思ういいよ　あなただから　いいよ誰も二人のことを見つけないとしてもあなただから　いいよはためく風の呼ぶ方へあなたも　わたしも　変わってしまうでしょう時には諍い　傷つけ合うでしょう見失うそのたびに恋をして確かめ合いたいいいよ　あなたとなら　いいよもしも最後に何もなくてもいいよいいよ　あなただから　いいよ誰も二人のことを見つけないとしてもあなただから　いいよ歩いていこう　最後まではためく風の呼ぶ方へこの歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
0,カムパネルラ,2020-08-05,"519,129",カムパネルラ　夢を見ていた君のあとに　咲いたリンドウの花この街は　変わり続ける計らずも　君を残して真昼の海で眠る月光蟲戻らないあの日に想いを巡らすオルガンの音色で踊るスタチュー時間だけ通り過ぎていくあの人の言う通り　わたしの手は汚れてゆくのでしょう追い風に翻り　わたしはまだ生きてゆくでしょう終わる日まで寄り添うように君を憶えていたいカムパネルラ　そこは豊かか君の目が　眩むくらいにタールの上で　陽炎が揺れる爆ぜるような　夏の灯火真白な鳥と歌う針葉樹見つめる全てが面影になる波打ち際にボタンが一つ君がくれた寂しさよあの人の言う通り　いつになれど癒えない傷があるでしょう黄昏を振り返り　その度　過ちを知るでしょう君がいない日々は続くしじまの中　独り光を受け止めて　跳ね返り輝くクリスタル君がつけた傷も　輝きのその一つあの人の言う通り　わたしの手は汚れてゆくのでしょう追い風に翻り　わたしはまだ生きてゆけるあの人の言う通り　いつになれど癒えない傷があるでしょう黄昏を振り返り　その度　過ちを知るでしょう終わる日まで寄り添うように君を憶えていたいカムパネルラこの歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
0,caribou,2012-05-16,"148,227",ねぇ、あなたの言うことは思慮深すぎて惚れ惚れとするわ教えてよその言葉その哲学の帰る場所について脆弱だ脆弱だ脆弱だそうやってなんだって情操と節操がないないつだって言ってるじゃない 素敵な言葉  また唱えて見せて！そうやってまた吐き散らしてさ 堂々巡りもやめにしよう言葉を杭に打ち付けて見せびらかすのは悪い趣味だ傲慢だ傲慢だ傲慢だそうやってなんだって証明と論法がないなああ、つまり君はもう少し必要なことを知るべきなのさ大変だ大変だ険悪だ甲乙言葉の銃を撃つ両方が両方を見下すもんだから二人はいよいよ宙に浮く言葉の弾丸が落ちていくラララねえ、それじゃあなたには言わずにおいた事教えてあげるわその子供みたいな角、もう情けが無いったら仕方ないのよ貧弱だ貧弱だ貧弱だそうやってなんだって情操と節操がないな笑えてくる！どうしようもないのね　アルコールにでも漬けてみたらどう？ああ、都合が悪くなるなら直ぐに話しを逸らすのだから劣悪な頭の中にこびり付く苔どうにかしなよ強情だ強情だ強情だそうやってなんだって証明と論法がないなくだらないな、自分のことだけ処理しきれたならそれでいいんだろう？打算だ打算だ険悪だ甲乙齟齬するアドバルーン要因の相乗で重みに耐えきれず二人はいよいよ落ちていく言葉の弾丸が宙に浮くラララああ、カリブー！どこへ行く？どこにある？そこから何が見える？見えるのはお互いの醜いまでの銃口だけああ、カリブー！お化けは言う　「メメント・モリ」楔外して歩きだせそんな口論　馬鹿みたい不思議な銃痕が残っていくねぇ、あなたの言うことは思慮深すぎて惚れ惚れとするわそうやってまた同じことをばかり 堂々巡りもうんざりだねこの歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
0,感電,2020-08-05,"2,510,021",逃げ出したい夜の往来　行方は未だ不明回り回って虚しくって　困っちゃったワンワンワン失ったつもりもないが　何か足りない気分ちょっと変にハイになって　吹かし込んだ四輪車兄弟よ如何かしよう　もう何も考えない様銀河系の外れへと　さようなら真実も　道徳も　動作しないイカれた夜でも僕ら手を叩いて笑い合う誰にも知られないままたった一瞬の　このきらめきを食べ尽くそう二人で　くたばるまでそして幸運を　僕らに祈りをまだ行こう　誰も追いつけない　くらいのスピードで稲妻の様に生きていたいだけお前はどうしたい？　返事はいらない転がした車窓と情景　動機は未だ不明邪魔臭くて苛ついて　迷い込んだニャンニャンニャンここいらで落とした財布　誰か見ませんでした？馬鹿みたいについてないね　茶化してくれハイウェイ・スターよう相棒　もう一丁　漫画みたいな喧嘩しようよ酒落になんないくらいのやつを　お試しで正論と　暴論の　分類さえ出来やしない街を抜け出して互いに笑い合う目指すのは　メロウなエンディングそれは心臓を　刹那に揺らすもの追いかけた途端に　見失っちゃうのきっと永遠が　どっかにあるんだと明後日を　探し回るのも　悪くはないでしょうお前がどっかに消えた朝よりこんな夜の方が　まだましさ肺に睡蓮　遠くのサイレン響き合う境界線愛し合う様に　喧嘩しようぜ遺る瀬無さ引っさげてたった一瞬の　このきらめきを食べ尽くそう二人で　くたばるまでそして幸運を　僕らに祈りをまだ行こう　誰も追いつけない　くらいのスピードでそれは心臓を　刹那に揺らすもの追いかけた途端に　見失っちゃうのきっと永遠が　どっかにあるんだと明後日を　探し回るのも　悪くはないでしょう稲妻の様に生きていたいだけお前はどうしたい？　返事はいらないこの歌詞をマイ歌ネットに登録 >このアーティストをマイ歌ネットに登録 >
